srr	genes_total	genes_detected_depth_ge_1x	genes_detected_pct	gene_mean_depth	gene_median_depth
SRR13708577	240	238	99.16666666666667	3.875674837904137	2.9956349206349207
SRR13708578	9315	9253	99.33440687063876	4.541423742955918	3.931464174454829
SRR13708579	38032	37809	99.41365166175852	5.0695094575715585	4.35905919982353
SRR13708580	16026	15892	99.16385872956445	5.640031620146276	4.764268703293094
SRR13708581	27255	27109	99.46431847367455	5.298388455816946	3.9198717948717947
SRR29498900	41191	41124	99.83734310893156	8.851828743280775	7.573333333333333
SRR32256216	61579	60811	98.75282157878497	12.098393564632033	4.801687763713081
SRR32256218	87119	86062	98.78671701924954	6.1433508935174155	3.9804804804804803
SRR32256219	57760	57011	98.70325484764543	15.00627529369879	4.942150433163306
SRR32256220	98926	97821	98.88300345712958	5.82828976840735	3.9184667184667186
SRR32649394	100566	99189	98.63074995525326	3.9248567930720992	3.4871794871794872
SRR32649420	47005	45621	97.0556323795341	3.4545784244251023	3.0793650793650795
SRR32830912	15528	14697	94.64837712519319	1.9765407909786998	1.8994847313783436
SRR32830929	4095	3918	95.67765567765568	3.147235636955019	2.309090909090909
SRR33876208	148956	147226	98.83858320577889	4.837301262949559	4.28693817648138
SRR33876232	119472	117053	97.97525780099102	4.37524500962341	3.8367131004034407
SRR34954217	1698	1222	71.96702002355713	1.6924947608917693	1.5384615384615385
SRR34988624	89804	89153	99.27508796935548	3.68725601710862	3.118377286766453
SRR35747361	95237	94632	99.36474269454098	4.531956580315436	3.9193548387096775
SRR5909414	1	1	100.0	1.5627240143369177	1.5627240143369177
SRR20242074	0	0	0.0	0.0	0.0
