srr	total_segments	mapped_segments	unmapped_segments	mapped_pct	total_contigs	contigs_detected	contig_detection_pct	assembly_bp	covered_bp	assembly_breadth_pct	mean_depth_weighted	median_contig_meandepth
SRR13708577	1631056	8432	1622624	0.5169656958436744	948	947	99.89451476793249	358703	345239.0	96.24647689035218	3.163840469421781	2.46067
SRR13708578	8651960	378188	8273772	4.371125155456105	29185	29185	100.0	12219337	11977968.0	98.02469642992907	3.96663635358606	3.28135
SRR13708579	12938502	1479012	11459490	11.431091481842333	95428	95413	99.98428134300205	44057396	43149480.0	97.93924270966899	4.343464948550625	3.439875
SRR13708580	15598170	633720	14964450	4.06278428815688	43724	43720	99.9908517061568	18075823	17646956.0	97.62739986998102	4.727607194817866	3.612795
SRR13708581	9595182	1145555	8449627	11.938856396887521	67333	67304	99.95693047985385	33418715	32850598.0	98.30000345614725	4.500696132959642	2.94432
SRR29498900	40633096	3807777	36825319	9.371122003600219	302670	301987	99.7743416922721	87932877	85050498.0	96.72206903909218	6.384860337788295	4.83871
SRR32256216	60197626	7715407	52482219	12.816796130797584	433560	431722	99.57606790294308	130671889	123641373.0	94.61971809407301	7.013599087910161	2.96667
SRR32256218	27583542	3760427	23823115	13.632864843826075	175752	175597	99.91180754699805	93018345	90369413.0	97.15224776359975	5.70710224319882	2.972625
SRR32256219	61145944	7897434	53248510	12.915711956299178	407799	405837	99.5188806250138	123464279	116665166.0	94.4930525208834	7.694882291314711	2.90774
SRR32256220	30906998	4196116	26710882	13.576588706544712	206848	206762	99.95842357673267	107226368	104775783.0	97.71456867773419	5.39493910558619	2.94426
SRR32649394	14947876	2458508	12489368	16.4472062786713	196377	195972	99.79376403550314	105104656	101970362.0	97.01793039501504	3.502416839186028	2.79503
SRR32649420	14840298	1032109	13808189	6.954772741086466	105483	105124	99.6596607984225	51144028	48855216.0	95.52477172896901	3.0211316982312666	2.48619
SRR32830912	14247798	210896	14036902	1.4802006597791462	49204	49151	99.89228518006666	17670630	16556369.0	93.69427688769444	1.7739967446263984	1.74566
SRR32830929	14591086	87130	14503956	0.5971454078195413	13646	13588	99.57496702330353	5077077	4533020.0	89.28405064567664	2.5333747056672564	1.91176
SRR33876208	21385042	4389926	16995116	20.528021408608875	284181	283272	99.68013343608474	155511942	150533407.0	96.79861563300392	4.226450805266495	3.28125
SRR33876232	28552262	3301520	25250742	11.563076858849222	256671	255880	99.69182338479999	130088557	124714609.0	95.86900790974259	3.798799419850863	2.92072
SRR34954217	34463664	35002	34428662	0.10156203936992886	15463	13679	88.46278212507276	4217263	2977441.0	70.60126437454814	1.2283158685177948	1.05714
SRR34988624	9712844	4760673	4952171	49.0142022254244	687337	685911	99.79253262955436	363766501	360405585.0	99.07607875085782	3.2293260507731585	2.58839
SRR35747361	26515018	3067572	23447446	11.56918694152876	226972	226944	99.98766367657684	103959046	101933862.0	98.05194056898137	3.8763818235541896	3.13228
SRR5909414	26902	6	26896	0.02230317448516839	2	2	100.0	763	755.0	98.95150720838795	1.9554394233289645	1.9043
SRR20242074	2571656	1158614	1413042	45.05322640353142	51096	50838	99.49506810709254	27627528	26865429.0	97.24152302008345	10.362387720110725	4.332345
