query	hmm_score	hmm_evalue	hmm_profile	mmseq_pident	mmseq_evalue	mmseq_bits	mmseq_target	category
AEMGBJMM_00016	11.4	0.0041	clu_230_n6					hmm_only
AEMGBJMM_00034				40.0	8.122	20.0	DRAMP00142|len57	mmseq_only
AEMGBJMM_00048				45.4	6.806	19.0	DRAMP02463|len27	mmseq_only
AEMGBJMM_00087				44.4	2.05	22.0	DRAMP00641|len52	mmseq_only
AEMGBJMM_00110				34.7	4.193	21.0	DRAMP00575|len51	mmseq_only
AEMGBJMM_00226				36.1	0.8929	22.0	DRAMP00100|len37	mmseq_only
AEMGBJMM_00236				36.1	6.565	20.0	DRAMP03458|len86	mmseq_only
AEMGBJMM_00267				36.3	7.132	19.0	DRAMP00341|len40	mmseq_only
AEMGBJMM_00278				32.3	1.263	21.0	DRAMP02929|len101	mmseq_only
AEMGBJMM_00308				39.1	2.108	20.0	DRAMP04466|len69	mmseq_only
AEMGBJMM_00325				36.8	0.9536	21.0	DRAMP03616|len43	mmseq_only
AEMGBJMM_00339				33.3	4.388	20.0	DRAMP00989|len43	mmseq_only
AEMGBJMM_00347				39.1	7.893	20.0	DRAMP03463|len34	mmseq_only
AEMGBJMM_00379				50.0	9.027	18.0	DRAMP00418|len51	mmseq_only
AEMGBJMM_00391				52.9	1.108	21.0	DRAMP01123|len20	mmseq_only
AEMGBJMM_00420				38.0	3.38	20.0	DRAMP00457|len47	mmseq_only
AEMGBJMM_00462				35.1	4.151	20.0	DRAMP18356|len50	mmseq_only
AEMGBJMM_00473				50.0	8.107	18.0	DRAMP01152|len17	mmseq_only
AEMGBJMM_00589				38.8	8.76	19.0	DRAMP00762|len30	mmseq_only
AEMGBJMM_00650				32.0	3.435	20.0	DRAMP00534|len60	mmseq_only
AEMGBJMM_00708				44.8	0.1055	25.0	DRAMP29190|len56	mmseq_only
AEMGBJMM_00712				39.1	1.721	21.0	DRAMP00575|len51	mmseq_only
AEMGBJMM_00763				42.1	1.093	21.0	DRAMP02833|len49	mmseq_only
AEMGBJMM_00834				43.7	9.015	18.0	DRAMP00446|len46	mmseq_only
AEMGBJMM_00871	16.6	0.00011	clu_229_n6	52.6	0.4009	23.0	DRAMP01652|len26	both
AEMGBJMM_00886				44.0	3.119	21.0	DRAMP00663|len65	mmseq_only
AEMGBJMM_00910				43.4	4.768	20.0	DRAMP00334|len55	mmseq_only
AEMGBJMM_00917				45.4	9.85	18.0	DRAMP30913|len19	mmseq_only
AEMGBJMM_00959				37.5	1.263	21.0	DRAMP04433|len42	mmseq_only
AEMGBJMM_01005				56.2	0.212	23.0	DRAMP02484|len51	mmseq_only
AEMGBJMM_01008				32.0	1.699	21.0	DRAMP02737|len74	mmseq_only
AEMGBJMM_01010				34.6	0.2784	23.0	DRAMP00516|len52	mmseq_only
AEMGBJMM_01015				39.1	7.906	19.0	DRAMP01017|len36	mmseq_only
AEMGBJMM_01024				53.8	5.197	19.0	DRAMP32670|len41	mmseq_only
AEMGBJMM_01047				36.6	0.5435	23.0	DRAMP02995|len93	mmseq_only
AEMGBJMM_01090				35.1	3.119	21.0	DRAMP02552|len95	mmseq_only
AEMGBJMM_01110				38.8	4.913	19.0	DRAMP03297|len57	mmseq_only
AEMGBJMM_01223				44.4	9.454	19.0	DRAMP32320|len31	mmseq_only
AEMGBJMM_01241				40.0	1.638	21.0	DRAMP03814|len37	mmseq_only
AEMGBJMM_01270				34.7	0.8572	23.0	DRAMP00726|len66	mmseq_only
AEMGBJMM_01316				33.3	4.942	20.0	DRAMP00190|len57	mmseq_only
AEMGBJMM_01354				37.5	4.913	19.0	DRAMP02777|len72	mmseq_only
AEMGBJMM_01359				35.0	9.036	19.0	DRAMP20799|len25	mmseq_only
AEMGBJMM_01407				44.4	1.921	21.0	DRAMP02420|len41	mmseq_only
AEMGBJMM_01450				35.1	4.388	20.0	DRAMP02487|len94	mmseq_only
AEMGBJMM_01461				34.7	3.346	21.0	DRAMP04440|len46	mmseq_only
AEMGBJMM_01500				37.5	6.352	20.0	DRAMP03434|len59	mmseq_only
AEMGBJMM_01567				57.1	0.214	23.0	DRAMP00148|len35	mmseq_only
AEMGBJMM_01635				38.4	5.329	20.0	DRAMP03519|len38	mmseq_only
AEMGBJMM_01660				34.7	4.569	20.0	DRAMP00504|len54	mmseq_only
AEMGBJMM_01745				31.5	6.998	20.0	DRAMP03659|len82	mmseq_only
AEMGBJMM_01746				34.2	1.761	21.0	DRAMP00636|len69	mmseq_only
AEMGBJMM_01776				34.4	5.672	19.0	DRAMP03576|len38	mmseq_only
AEMGBJMM_01788				42.3	7.363	19.0	DRAMP01324|len64	mmseq_only
AEMGBJMM_01798				33.3	6.084	18.0	DRAMP31555|len36	mmseq_only
AEMGBJMM_01799				41.6	0.9351	21.0	DRAMP03169|len64	mmseq_only
AEMGBJMM_01835				30.7	7.442	20.0	DRAMP01074|len90	mmseq_only
AEMGBJMM_01836				47.6	0.5441	22.0	DRAMP18406|len59	mmseq_only
AEMGBJMM_01852				36.6	0.9954	22.0	DRAMP02682|len79	mmseq_only
AEMGBJMM_01889				34.6	3.507	19.0	DRAMP02570|len50	mmseq_only
AEMGBJMM_01941				34.4	8.819	20.0	DRAMP00552|len65	mmseq_only
AEMGBJMM_01954				42.3	0.9098	21.0	DRAMP01379|len30	mmseq_only
AEMGBJMM_01979				40.0	3.834	21.0	DRAMP02549|len94	mmseq_only
AEMGBJMM_02014				45.0	0.4492	23.0	DRAMP20868|len29	mmseq_only
AEMGBJMM_02015				43.7	1.235	21.0	DRAMP03636|len31	mmseq_only
AEMGBJMM_02027				38.4	6.621	20.0	DRAMP00613|len66	mmseq_only
AEMGBJMM_02038	11.8	0.0037	clu_069_n14					hmm_only
AEMGBJMM_02092				39.0	0.02421	26.0	DRAMP00700|len55	mmseq_only
AEMGBJMM_02100	15.1	0.00029	clu_148_n8					hmm_only
AEMGBJMM_02110				42.3	0.3145	23.0	DRAMP00131|len35	mmseq_only
