DRAMP00005|len30	DRAMP00005|len30
DRAMP00063|len21	DRAMP00063|len21
DRAMP00063|len21	DRAMP00061|len19
DRAMP00063|len21	DRAMP18209|len21
DRAMP00063|len21	DRAMP18206|len19
DRAMP00068|len51	DRAMP00068|len51
DRAMP00068|len51	DRAMP00066|len52
DRAMP00068|len51	DRAMP00258|len53
DRAMP00069|len50	DRAMP00069|len50
DRAMP00089|len39	DRAMP00089|len39
DRAMP00090|len48	DRAMP00090|len48
DRAMP00105|len40	DRAMP00105|len40
DRAMP00106|len37	DRAMP00106|len37
DRAMP00107|len37	DRAMP00107|len37
DRAMP00126|len33	DRAMP00126|len33
DRAMP00127|len34	DRAMP00127|len34
DRAMP00128|len25	DRAMP00128|len25
DRAMP00129|len32	DRAMP00129|len32
DRAMP00171|len61	DRAMP00171|len61
DRAMP00171|len61	DRAMP00173|len61
DRAMP00177|len53	DRAMP00177|len53
DRAMP00177|len53	DRAMP04431|len54
DRAMP00178|len44	DRAMP00178|len44
DRAMP00189|len31	DRAMP00189|len31
DRAMP00190|len57	DRAMP00190|len57
DRAMP00191|len21	DRAMP00191|len21
DRAMP00218|len14	DRAMP00218|len14
DRAMP00222|len84	DRAMP00222|len84
DRAMP00232|len22	DRAMP00232|len22
DRAMP00254|len43	DRAMP00254|len43
DRAMP00384|len35	DRAMP00384|len35
DRAMP00422|len51	DRAMP00422|len51
DRAMP00422|len51	DRAMP00416|len50
DRAMP00422|len51	DRAMP00423|len51
DRAMP00422|len51	DRAMP00410|len44
DRAMP00422|len51	DRAMP00415|len51
DRAMP00422|len51	DRAMP00418|len51
DRAMP00422|len51	DRAMP00419|len50
DRAMP00422|len51	DRAMP00420|len51
DRAMP00422|len51	DRAMP00421|len50
DRAMP00422|len51	DRAMP00451|len52
DRAMP00422|len51	DRAMP00469|len51
DRAMP00422|len51	DRAMP00470|len51
DRAMP00422|len51	DRAMP03950|len51
DRAMP00422|len51	DRAMP03951|len51
DRAMP00422|len51	DRAMP03952|len51
DRAMP00422|len51	DRAMP03953|len51
DRAMP00422|len51	DRAMP00398|len50
DRAMP00422|len51	DRAMP00397|len50
DRAMP00422|len51	DRAMP00424|len51
DRAMP00422|len51	DRAMP00417|len51
DRAMP00422|len51	DRAMP00426|len54
DRAMP00422|len51	DRAMP00429|len50
DRAMP00422|len51	DRAMP00475|len58
DRAMP00422|len51	DRAMP00749|len50
DRAMP00422|len51	DRAMP00396|len49
DRAMP00422|len51	DRAMP00400|len49
DRAMP00422|len51	DRAMP01056|len50
DRAMP00422|len51	DRAMP00992|len50
DRAMP00422|len51	DRAMP00990|len50
DRAMP00425|len11	DRAMP00425|len11
DRAMP00431|len46	DRAMP00431|len46
DRAMP00431|len46	DRAMP01014|len46
DRAMP00431|len46	DRAMP01015|len45
DRAMP00454|len47	DRAMP00454|len47
DRAMP00454|len47	DRAMP00745|len49
DRAMP00454|len47	DRAMP01051|len48
DRAMP00454|len47	DRAMP00746|len47
DRAMP00454|len47	DRAMP01052|len47
DRAMP00454|len47	DRAMP31946|len47
DRAMP00454|len47	DRAMP31947|len47
DRAMP00454|len47	DRAMP31948|len47
DRAMP00454|len47	DRAMP31949|len47
DRAMP00454|len47	DRAMP31950|len47
DRAMP00454|len47	DRAMP31952|len47
DRAMP00765|len17	DRAMP00765|len17
DRAMP00765|len17	DRAMP00764|len20
DRAMP00766|len7	DRAMP00766|len7
DRAMP00774|len30	DRAMP00774|len30
DRAMP00933|len76	DRAMP00933|len76
DRAMP00933|len76	DRAMP00932|len79
DRAMP00933|len76	DRAMP04488|len79
DRAMP01004|len19	DRAMP01004|len19
DRAMP01012|len55	DRAMP01012|len55
DRAMP01061|len10	DRAMP01061|len10
DRAMP01064|len9	DRAMP01064|len9
DRAMP01066|len19	DRAMP01066|len19
DRAMP01081|len23	DRAMP01081|len23
DRAMP01081|len23	DRAMP01083|len23
DRAMP01081|len23	DRAMP01085|len23
DRAMP01081|len23	DRAMP01088|len23
DRAMP01081|len23	DRAMP01089|len23
DRAMP01081|len23	DRAMP01087|len23
DRAMP01082|len16	DRAMP01082|len16
DRAMP01082|len16	DRAMP32937|len16
DRAMP01082|len16	DRAMP32940|len16
DRAMP01082|len16	DRAMP32942|len16
DRAMP01082|len16	DRAMP32949|len16
DRAMP01082|len16	DRAMP32950|len16
DRAMP01082|len16	DRAMP32951|len16
DRAMP01090|len16	DRAMP01090|len16
DRAMP01091|len16	DRAMP01091|len16
DRAMP01091|len16	DRAMP01086|len17
DRAMP01091|len16	DRAMP01084|len17
DRAMP03017|len13	DRAMP03017|len13
DRAMP01105|len18	DRAMP01105|len18
DRAMP01105|len18	DRAMP01103|len18
DRAMP01105|len18	DRAMP01104|len18
